mgen_id	preprocessing	sra_accession	r1_path	r2_path
watson_DA_D_18	hfilt.dedup.deadapt.qtrim	SRR13712902	raw/sra/SRR13712902_1.fq.gz	raw/sra/SRR13712902_2.fq.gz
watson_DA_D_16	hfilt.dedup.deadapt.qtrim	SRR13712903	raw/sra/SRR13712903_1.fq.gz	raw/sra/SRR13712903_2.fq.gz
watson_DA_D_15	hfilt.dedup.deadapt.qtrim	SRR13712904	raw/sra/SRR13712904_1.fq.gz	raw/sra/SRR13712904_2.fq.gz
watson_DA_D_14	hfilt.dedup.deadapt.qtrim	SRR13712905	raw/sra/SRR13712905_1.fq.gz	raw/sra/SRR13712905_2.fq.gz
watson_DA_D_17	hfilt.dedup.deadapt.qtrim	SRR13712906	raw/sra/SRR13712906_1.fq.gz	raw/sra/SRR13712906_2.fq.gz
watson_DA_D_13	hfilt.dedup.deadapt.qtrim	SRR13712907	raw/sra/SRR13712907_1.fq.gz	raw/sra/SRR13712907_2.fq.gz
watson_DA_D_12	hfilt.dedup.deadapt.qtrim	SRR13712908	raw/sra/SRR13712908_1.fq.gz	raw/sra/SRR13712908_2.fq.gz
watson_DB_R05_UC_P_06_POST	hfilt.dedup.deadapt.qtrim	SRR13712909	raw/sra/SRR13712909_1.fq.gz	raw/sra/SRR13712909_2.fq.gz
watson_DB_R05_UC_P_05_POST	hfilt.dedup.deadapt.qtrim	SRR13712910	raw/sra/SRR13712910_1.fq.gz	raw/sra/SRR13712910_2.fq.gz
watson_DB_R05_UC_P_04_POST	hfilt.dedup.deadapt.qtrim	SRR13712911	raw/sra/SRR13712911_1.fq.gz	raw/sra/SRR13712911_2.fq.gz
watson_DB_R05_UC_P_03_POST	hfilt.dedup.deadapt.qtrim	SRR13712912	raw/sra/SRR13712912_1.fq.gz	raw/sra/SRR13712912_2.fq.gz
watson_DB_R05_UC_P_02_POST	hfilt.dedup.deadapt.qtrim	SRR13712913	raw/sra/SRR13712913_1.fq.gz	raw/sra/SRR13712913_2.fq.gz
watson_DB_R05_UC_P_01_PRE	hfilt.dedup.deadapt.qtrim	SRR13712914	raw/sra/SRR13712914_1.fq.gz	raw/sra/SRR13712914_2.fq.gz
watson_DB_R04_CDI_P_09_POST	hfilt.dedup.deadapt.qtrim	SRR13712915	raw/sra/SRR13712915_1.fq.gz	raw/sra/SRR13712915_2.fq.gz
watson_DB_R04_CDI_P_08_POST	hfilt.dedup.deadapt.qtrim	SRR13712916	raw/sra/SRR13712916_1.fq.gz	raw/sra/SRR13712916_2.fq.gz
watson_DB_R04_CDI_P_07_POST	hfilt.dedup.deadapt.qtrim	SRR13712917	raw/sra/SRR13712917_1.fq.gz	raw/sra/SRR13712917_2.fq.gz
watson_DA_D_11	hfilt.dedup.deadapt.qtrim	SRR13712918	raw/sra/SRR13712918_1.fq.gz	raw/sra/SRR13712918_2.fq.gz
watson_DA_D_02	hfilt.dedup.deadapt.qtrim	SRR13712919	raw/sra/SRR13712919_1.fq.gz	raw/sra/SRR13712919_2.fq.gz
watson_DA_D_01	hfilt.dedup.deadapt.qtrim	SRR13712920	raw/sra/SRR13712920_1.fq.gz	raw/sra/SRR13712920_2.fq.gz
watson_DB_R04_CDI_P_06_POST	hfilt.dedup.deadapt.qtrim	SRR13712921	raw/sra/SRR13712921_1.fq.gz	raw/sra/SRR13712921_2.fq.gz
watson_DB_R04_CDI_P_05_POST	hfilt.dedup.deadapt.qtrim	SRR13712922	raw/sra/SRR13712922_1.fq.gz	raw/sra/SRR13712922_2.fq.gz
watson_DB_R04_CDI_P_04_POST	hfilt.dedup.deadapt.qtrim	SRR13712923	raw/sra/SRR13712923_1.fq.gz	raw/sra/SRR13712923_2.fq.gz
watson_DB_R04_CDI_P_03_POST	hfilt.dedup.deadapt.qtrim	SRR13712924	raw/sra/SRR13712924_1.fq.gz	raw/sra/SRR13712924_2.fq.gz
DS0044_002	hfilt.dedup.deadapt.qtrim		
DS0044_003	hfilt.dedup.deadapt.qtrim		
DS0044_004	hfilt.dedup.deadapt.qtrim		
DS0044_005	hfilt.dedup.deadapt.qtrim		
DS0044_006	hfilt.dedup.deadapt.qtrim		
DS0044_007	hfilt.dedup.deadapt.qtrim		
DS0044_008	hfilt.dedup.deadapt.qtrim		
DS0044_009	hfilt.dedup.deadapt.qtrim		
DS0044_010	hfilt.dedup.deadapt.qtrim		
DS0044_011	hfilt.dedup.deadapt.qtrim		
DS0097_001	hfilt.dedup.deadapt.qtrim		
DS0097_002	hfilt.dedup.deadapt.qtrim		
DS0097_003	hfilt.dedup.deadapt.qtrim		
DS0097_004	hfilt.dedup.deadapt.qtrim		
DS0097_005	hfilt.dedup.deadapt.qtrim		
DS0097_006	hfilt.dedup.deadapt.qtrim		
DS0097_007	hfilt.dedup.deadapt.qtrim		
DS0097_008	hfilt.dedup.deadapt.qtrim		
DS0097_009	hfilt.dedup.deadapt.qtrim		
DS0097_010	hfilt.dedup.deadapt.qtrim		
DS0097_011	hfilt.dedup.deadapt.qtrim		
DS0097_012	hfilt.dedup.deadapt.qtrim		
DS0097_013	hfilt.dedup.deadapt.qtrim		
DS0097_014	hfilt.dedup.deadapt.qtrim		
DS0097_015	hfilt.dedup.deadapt.qtrim		
DS0097_016	hfilt.dedup.deadapt.qtrim		
DS0097_017	hfilt.dedup.deadapt.qtrim		
DS0097_022	hfilt.dedup.deadapt.qtrim		
DS0097_023	hfilt.dedup.deadapt.qtrim		
DS0097_024	hfilt.dedup.deadapt.qtrim		
DS0097_025	hfilt.dedup.deadapt.qtrim		
DS0097_026	hfilt.dedup.deadapt.qtrim		
DS0097_027	hfilt.dedup.deadapt.qtrim		
DS0097_028	hfilt.dedup.deadapt.qtrim		
DS0097_029	hfilt.dedup.deadapt.qtrim		
DS0097_030	hfilt.dedup.deadapt.qtrim		
DS0097_031	hfilt.dedup.deadapt.qtrim		
DS0097_032	hfilt.dedup.deadapt.qtrim		
DS0097_034	hfilt.dedup.deadapt.qtrim		
DS0097_035	hfilt.dedup.deadapt.qtrim		
DS0097_036	hfilt.dedup.deadapt.qtrim		
DS0485_002	hfilt.dedup.deadapt.qtrim		
SS01000	hfilt.dedup.deadapt.qtrim		
SS01001	hfilt.dedup.deadapt.qtrim		
SS01002	hfilt.dedup.deadapt.qtrim		
SS01004	hfilt.dedup.deadapt.qtrim		
SS01005	hfilt.dedup.deadapt.qtrim		
SS01006	hfilt.dedup.deadapt.qtrim		
SS01007	hfilt.dedup.deadapt.qtrim		
SS01008	hfilt.dedup.deadapt.qtrim		
SS01008b	hfilt.dedup.deadapt.qtrim		
SS01009	hfilt.dedup.deadapt.qtrim		
SS01011	hfilt.dedup.deadapt.qtrim		
SS01012	hfilt.dedup.deadapt.qtrim		
SS01013	hfilt.dedup.deadapt.qtrim		
SS01013b	hfilt.dedup.deadapt.qtrim		
SS01015	hfilt.dedup.deadapt.qtrim		
SS01016	hfilt.dedup.deadapt.qtrim		
SS01017	hfilt.dedup.deadapt.qtrim		
SS01018	hfilt.dedup.deadapt.qtrim		
SS01019	hfilt.dedup.deadapt.qtrim		
SS01020b	hfilt.dedup.deadapt.qtrim		
SS01022	hfilt.dedup.deadapt.qtrim		
SS01023	hfilt.dedup.deadapt.qtrim		
SS01026	hfilt.dedup.deadapt.qtrim		
SS01027	hfilt.dedup.deadapt.qtrim		
SS01030	hfilt.dedup.deadapt.qtrim		
SS01032b	hfilt.dedup.deadapt.qtrim		
SS01033	hfilt.dedup.deadapt.qtrim		
SS01034b	hfilt.dedup.deadapt.qtrim		
SS01036	hfilt.dedup.deadapt.qtrim		
SS01037	hfilt.dedup.deadapt.qtrim		
SS01038	hfilt.dedup.deadapt.qtrim		
SS01039b	hfilt.dedup.deadapt.qtrim		
SS01042	hfilt.dedup.deadapt.qtrim		
SS01043b	hfilt.dedup.deadapt.qtrim		
SS01046b	hfilt.dedup.deadapt.qtrim		
SS01047	hfilt.dedup.deadapt.qtrim		
SS01048	hfilt.dedup.deadapt.qtrim		
SS01052	hfilt.dedup.deadapt.qtrim		
SS01053	hfilt.dedup.deadapt.qtrim		
SS01054	hfilt.dedup.deadapt.qtrim		
SS01055	hfilt.dedup.deadapt.qtrim		
SS01056	hfilt.dedup.deadapt.qtrim		
SS01057	hfilt.dedup.deadapt.qtrim		
SS01059	hfilt.dedup.deadapt.qtrim		
SS01060	hfilt.dedup.deadapt.qtrim		
SS01062b	hfilt.dedup.deadapt.qtrim		
SS01063	hfilt.dedup.deadapt.qtrim		
SS01066	hfilt.dedup.deadapt.qtrim		
SS01067	hfilt.dedup.deadapt.qtrim		
SS01068	hfilt.dedup.deadapt.qtrim		
SS01069	hfilt.dedup.deadapt.qtrim		
SS01070	hfilt.dedup.deadapt.qtrim		
SS01072	hfilt.dedup.deadapt.qtrim		
SS01073	hfilt.dedup.deadapt.qtrim		
SS01075	hfilt.dedup.deadapt.qtrim		
SS01076	hfilt.dedup.deadapt.qtrim		
SS01078	hfilt.dedup.deadapt.qtrim		
SS01080	hfilt.dedup.deadapt.qtrim		
SS01081	hfilt.dedup.deadapt.qtrim		
SS01083	hfilt.dedup.deadapt.qtrim		
SS01084	hfilt.dedup.deadapt.qtrim		
SS01086	hfilt.dedup.deadapt.qtrim		
SS01087	hfilt.dedup.deadapt.qtrim		
SS01088	hfilt.dedup.deadapt.qtrim		
SS01089	hfilt.dedup.deadapt.qtrim		
SS01090	hfilt.dedup.deadapt.qtrim		
SS01091	hfilt.dedup.deadapt.qtrim		
SS01092	hfilt.dedup.deadapt.qtrim		
SS01093b	hfilt.dedup.deadapt.qtrim		
SS01093c	hfilt.dedup.deadapt.qtrim		
SS01094	hfilt.dedup.deadapt.qtrim		
SS01097	hfilt.dedup.deadapt.qtrim		
SS01098	hfilt.dedup.deadapt.qtrim		
SS01100	hfilt.dedup.deadapt.qtrim		
SS01103	hfilt.dedup.deadapt.qtrim		
SS01105	hfilt.dedup.deadapt.qtrim		
SS01108	hfilt.dedup.deadapt.qtrim		
SS01109	hfilt.dedup.deadapt.qtrim		
SS01117	hfilt.dedup.deadapt.qtrim		
SS01117b	hfilt.dedup.deadapt.qtrim		
SS01119	hfilt.dedup.deadapt.qtrim		
SS01120	hfilt.dedup.deadapt.qtrim		
SS01120b	hfilt.dedup.deadapt.qtrim		
SS01123	hfilt.dedup.deadapt.qtrim		
SS01124	hfilt.dedup.deadapt.qtrim		
SS01125	hfilt.dedup.deadapt.qtrim		
SS01126	hfilt.dedup.deadapt.qtrim		
SS01126b	hfilt.dedup.deadapt.qtrim		
SS01127	hfilt.dedup.deadapt.qtrim		
SS01128	hfilt.dedup.deadapt.qtrim		
SS01130	hfilt.dedup.deadapt.qtrim		
SS01131	hfilt.dedup.deadapt.qtrim		
SS01132	hfilt.dedup.deadapt.qtrim		
SS01133	hfilt.dedup.deadapt.qtrim		
SS01134	hfilt.dedup.deadapt.qtrim		
SS01135	hfilt.dedup.deadapt.qtrim		
SS01136	hfilt.dedup.deadapt.qtrim		
SS01137	hfilt.dedup.deadapt.qtrim		
SS01138	hfilt.dedup.deadapt.qtrim		
SS01139	hfilt.dedup.deadapt.qtrim		
SS01140	hfilt.dedup.deadapt.qtrim		
SS01141	hfilt.dedup.deadapt.qtrim		
SS01142	hfilt.dedup.deadapt.qtrim		
SS01145	hfilt.dedup.deadapt.qtrim		
SS01146	hfilt.dedup.deadapt.qtrim		
SS01147	hfilt.dedup.deadapt.qtrim		
SS01148	hfilt.dedup.deadapt.qtrim		
SS01149	hfilt.dedup.deadapt.qtrim		
SS01150	hfilt.dedup.deadapt.qtrim		
SS01151	hfilt.dedup.deadapt.qtrim		
SS01153	hfilt.dedup.deadapt.qtrim		
SS01154	hfilt.dedup.deadapt.qtrim		
SS01155	hfilt.dedup.deadapt.qtrim		
SS01156	hfilt.dedup.deadapt.qtrim		
SS01157	hfilt.dedup.deadapt.qtrim		
SS01158	hfilt.dedup.deadapt.qtrim		
SS01160	hfilt.dedup.deadapt.qtrim		
SS01161	hfilt.dedup.deadapt.qtrim		
SS01162	hfilt.dedup.deadapt.qtrim		
SS01163	hfilt.dedup.deadapt.qtrim		
SS01164	hfilt.dedup.deadapt.qtrim		
SS01165	hfilt.dedup.deadapt.qtrim		
SS01166	hfilt.dedup.deadapt.qtrim		
SS01167	hfilt.dedup.deadapt.qtrim		
SS01168	hfilt.dedup.deadapt.qtrim		
SS01169	hfilt.dedup.deadapt.qtrim		
SS01170	hfilt.dedup.deadapt.qtrim		
SS01171	hfilt.dedup.deadapt.qtrim		
SS01172	hfilt.dedup.deadapt.qtrim		
SS01173	hfilt.dedup.deadapt.qtrim		
SS01175	hfilt.dedup.deadapt.qtrim		
SS01176	hfilt.dedup.deadapt.qtrim		
SS01177	hfilt.dedup.deadapt.qtrim		
